Month,Site,plant,Mic,Phy,Zoo,Biv,Gas,OtC,Cra,Pol,Shr,Ph,Sh,Lj,Ca
June,SA,2664,1.96,0.02565,2.122,9.657894737,0.036842105,11.95263158,0,5.994736842,0,0,0,0.08012037,0
June,SA,1307,2,0.1 ,2.342,7.894736842,0,17.73157895,0,4.473684211,0,0,0,0.063759259,0
June,SA,2956,2.12,0.1071,2.618,10.84210526,3.210526316,9.057894737,0,2.310526316,0,0.075342593,0,0.125740741,0
June,SA,2292,1.31,0.016,2.018,4.663157895,0,11.58421053,0,0.905263158,0,0,0.003388889,0.04462037,0
June,SA,2635,1.31,0.0216,1.425,6.942105263,0.215789474,23.58421053,0,3.342105263,0,0,0,0.127185185,0
June,SA,1087,1.4,0.035178607,1.119,0,0.2,0,0,4.410526316,0,0,0,0.007435185,0
July,SA,1866 ,0.611,0.003085717,1.017,4.331578947,0.231578947,0,11.06315789,5.978947368,0,,,,
July,SA,1899 ,1,0.0 ,0.792,2.521052632,38.74736842,0,6.010526316,0.321052632,0,,,,
July,SA,1764 ,0.653,0.002784,0.125,1.710526316,0,0,10.62631579,5.994736842,0,,,,
July,SA,1837 ,0.698,0.004459071,1.318,0.505263158,0.031578947,0,28.95789474,1.057894737,5.494736842,0,0.174898148,0.216055556,0
July,SA,1806 ,1.23,0.002569145,0.41,12.17368421,0.173684211,0,5.8,4.1,0,0,0.572453704,0.331138889,0
July,SA,1822 ,0.541,0.00252,2.122,40.83157895,0.036842105,0,17.42631579,9.6,0,0,0.336148148,0.868407407,0
August,SA,1942,0.191,0.00165,0.121,0.547368421,0.126315789,0,87.55789474,9.005263158,0,0.065796296,0.199009259,0.156083333,0.127490741
August,SA,2150,0.226,0.0 ,0.031,0.1,0.126315789,0.010526316,1.147368421,0.736842105,0.205263158,0,0.759092593,0.262935185,0.027944444
August,SA,1992,0.22,0.011108466,0.012,0.326315789,0.084210526,0,5.510526316,2.521052632,0.126315789,0,0.222888889,0.064351852,0
August,SA,2044,0.219,0.005423415,0.008,32.12105263,0.036842105,0,17.44210526,5.947368421,0,0,0.011861111,0,0
August,SA,1715,0.227,0.013186042,0.162,42.96315789,0.173684211,0,29.32105263,1.215789474,0.336842105,0.007768519,0.462592593,0.472814815,0.014555556
August,SA,2303,0.293,0.0045,0.071,0.268421053,0.147368421,0.021052632,11.95789474,7.347368421,0,0,0.418638889,0.213509259,0.011148148
September,SA,2863,,8.955877691,0.054,145.8473684,0.384210526,0,19.21578947,0,0,,,,
September,SA,2566,,12.4 ,0.212,144.2842105,0.073684211,35.28947368,64.89473684,0.142105263,0,,,,
September,SA,4133,,7.57687065,0.122,178.4210526,0.010526316,0.005263158,0,0.363157895,0,,,,
September,SA,2805,,7.500375196,0.188,138.6631579,0,0,0,2.563157895,0,,,,
September,SA,3730,,3.469832691,0.302,221.8578947,0.036842105,0,7.415789474,0.173684211,0,,,,
September,SA,3778,,7.339690984,0.248,182.2736842,0.015789474,0,0.126315789,0.089473684,0,,,,
June,SG,88.48,0.92,3.009670512,0.117,0.130282051,0.095583333,,,0.0065,0.001,0.075185185,0.005148148,0.062342593,0
June,SG,87.52,2.35,0.061792142,0.025,0.252660377,0.484,,11.11,0.049288889,0.002,0,0.005203704,0.14887037,0
June,SG,82.08,2.38,0.037993153,0.569,0.393229167,0.044411765,,9.117,0.002666667,,0,0.02312963,0.113861111,0
June,SG,88.32,3.34,6.7105656,0.434,0.333,0.017333333,,1.363666667,0.002625,,0,0.054138889,0.048787037,0
June,SG,87.36,1.75,0.330771114,0.55,0.578655172,,,,0.0065,,0,0.032259259,0.197277778,0
June,SG,112.64,1.85,0.0192,2.133,0.1166,0.024761905,,,0.0065,,0,0,0.021722222,0
July,SG,166.4,1.75,0.004872,1.048,0.335990826,0.047,,0.477571429,0.014,0.002,0,0.100083333,0.387472222,0
July,SG,159.2,5.25,0.004023696,1.425,0.230217391,0.0705,,0.621,0.011333333,,0,0.128453704,0.421064815,0
July,SG,185.76,0.833,0.004371432,1.052,0.3260625,0.122153846,,2.75425,0.0105,,,0,,
July,SG,148.48,1.11,0.004467146,0.733,0.218831461,0.069272727,,0.7025,0.013666667,,0,0.216814815,0.210935185,0
July,SG,171.2,0.962,0.003113312,0.109,0.1382,0.021,,0.047,0.008,,0,0.043398148,0.330768519,0
July,SG,272.16,0.338,0.00116,0.277,0.431888889,0.477833333,,0.219,0.0135,,0,0.043398148,0.330768519,0
August,SG,273,0.197,0.005710716,0.025,0.387023256,0.04975,0.012,0.033,0.00475,,0.093601852,0.183851852,0.211583333,0
August,SG,165,0.349,0.0036,0.016,0.371193548,0.301375,0.007,0.899,,,0,0.059416667,0.140509259,0.016814815
August,SG,263,0.988,0.001993517,0.011,0.196234043,0.1826,0.0025,1.718,,0.012,0,0.626592593,0.494537037,0
August,SG,199,0.572,0.003558154,0.014,0.389857143,0.177846154,0.005,0.215,0.21,0.033,,,,
September,SG,151.2653061,,1.931895678,0.318,0.007714286,,,2.3195,0.0025,,,,,
September,SG,149.2244898,,1.844323689,0.384,0.109862069,0.024,0.017,0.806333333,0.006666667,,,,,
September,SG,138.5306122,,15.22384319,0.168,0.123964286,,0.012,0.713,0.013,,,,,
September,SG,170.9387755,,4.80442278,0.082,0.32387037,0.009857143,0.0085,0.080333333,0.004,,,,,
September,SG,183.3469388,,8.63638734,0.126,0.323079646,0.450375,0.0075,0.0165,0.007,,,,,
September,SG,194.9387755,,3.226042834,0.072,0.327818182,0.2286,,0.011,0.006,,,,,
